Algorithm,Group Size,Operation,Time (ms)
RatchetTree,1000,remove,65.19969999999375
RatchetTree,1000,remove,68.77879999979086
RatchetTree,1000,remove,31.028399999968315
RatchetTree,1000,remove,31.87079999997877
RatchetTree,1000,remove,34.59470000007059
RatchetTree,10000,add,391.860799999904
RatchetTree,10000,add,308.1022999999732
RatchetTree,10000,add,345.61459999986255
RatchetTree,10000,add,392.58539999991626
RatchetTree,10000,add,298.27339999997093
RatchetTree,10000,remove,350.31629999980396
RatchetTree,10000,remove,353.06949999994686
RatchetTree,10000,remove,353.31670000005033
RatchetTree,10000,remove,291.4423000001989
RatchetTree,10000,remove,323.7051999999494
TreeKEM,5,add,341.68540000018766
TreeKEM,5,add,407.3275000000649
TreeKEM,5,add,710.0199999999859
TreeKEM,5,add,552.4267999999211
TreeKEM,5,add,391.6355000001204
TreeKEM,5,remove,341.3036000001739
TreeKEM,5,remove,453.96359999995184
TreeKEM,5,remove,702.5969000001169
TreeKEM,5,remove,407.7806000000237
TreeKEM,5,remove,514.2128000002231
TreeKEM,50,add,1054.5664000001125
TreeKEM,50,add,665.2662999999848
TreeKEM,50,add,861.7738000002646
TreeKEM,50,add,678.895300000022
TreeKEM,50,add,854.0318000000298
TreeKEM,50,remove,814.0744000002087
TreeKEM,50,remove,880.7141000002048
TreeKEM,50,remove,655.2734000001692
TreeKEM,50,remove,626.93390000004
TreeKEM,50,remove,1024.8684000002868
TreeKEM,100,add,1032.3344999997062
TreeKEM,100,add,822.2585999997136
TreeKEM,100,add,952.5880000001052
TreeKEM,100,add,793.9719999999397
TreeKEM,100,add,1228.3305000000837
TreeKEM,100,remove,774.2322999997668
TreeKEM,100,remove,1038.40289999971
TreeKEM,100,remove,896.668000000318
TreeKEM,100,remove,789.2607999997381
TreeKEM,100,remove,1077.234099999714
TreeKEM,1000,add,1467.8467999997338
TreeKEM,1000,add,1476.1038000001463
TreeKEM,1000,add,969.5768999999927
TreeKEM,1000,add,1383.5377999998855
TreeKEM,1000,add,1126.3349999999264
TreeKEM,1000,remove,1592.5449999999728
TreeKEM,1000,remove,1203.8195000000087
TreeKEM,1000,remove,1295.0768000000608
TreeKEM,1000,remove,1250.766399999975
TreeKEM,1000,remove,1199.7584999999162
TreeKEM,10000,add,2589.9279000004753
TreeKEM,10000,add,1698.2516999996733
TreeKEM,10000,add,1739.2891999988933
TreeKEM,10000,add,2034.8947999991651
TreeKEM,10000,add,2089.477800000168
TreeKEM,10000,remove,1679.8788999985845
TreeKEM,10000,remove,1922.297700000854
TreeKEM,10000,remove,1724.0540999991936
TreeKEM,10000,remove,1619.7955999996339
TreeKEM,10000,remove,1910.867300000973
Hybrid,5,add,1378.9896999987832
Hybrid,5,add,1044.5472999999765
Hybrid,5,add,402.4118000015733
Hybrid,5,add,830.5200999966473
Hybrid,5,add,287.51520000150776
Hybrid,5,remove,5.62069999796222
Hybrid,5,remove,4.474800000025425
Hybrid,5,remove,3.804600000876235
Hybrid,5,remove,5.192999997234438
Hybrid,5,remove,3.189600000041537
Hybrid,50,add,866.45960000169
Hybrid,50,add,1162.2090999990178
Hybrid,50,add,581.3382000014826
Hybrid,50,add,855.3855999998632
Hybrid,50,add,426.7666999985522
Hybrid,50,remove,32.13500000128988
Hybrid,50,remove,32.119999999849824
Hybrid,50,remove,34.84709999975166
Hybrid,50,remove,31.750100002682302
Hybrid,50,remove,31.795599999895785
Hybrid,100,add,2071.827600000688
Hybrid,100,add,762.4214999996184
Hybrid,100,add,888.4634999994887
Hybrid,100,add,830.3295000005164
Hybrid,100,add,1746.0962000004656
Hybrid,100,remove,64.93499999851338
Hybrid,100,remove,68.34259999959613
Hybrid,100,remove,64.38190000335453
Hybrid,100,remove,75.10960000217892
Hybrid,100,remove,62.54380000245874
Hybrid,1000,add,1901.7671000001428
Hybrid,1000,add,2417.0709999998508
Hybrid,1000,add,3291.314299996884
Hybrid,1000,add,1028.7549999993644
Hybrid,1000,add,1595.671899998706
Hybrid,1000,remove,616.6142000001855
Hybrid,1000,remove,615.9856999984186
Hybrid,1000,remove,610.192600001028
Hybrid,1000,remove,609.2764000022726
Hybrid,1000,remove,610.7545999984723
Hybrid,10000,add,7004.2950000024575
Hybrid,10000,add,7373.565400001098
Hybrid,10000,add,7576.3965000005555
Hybrid,10000,add,9757.571899997856
Hybrid,10000,add,8914.005300001008
Hybrid,10000,remove,6269.590700001572
Hybrid,10000,remove,6279.116999998223
Hybrid,10000,remove,6387.738699999318
Hybrid,10000,remove,6288.926100001845
Hybrid,10000,remove,6354.594399999769
