Algorithm,Group Size,Message Size,Encryption Time (ms),Decryption Time (ms),CPU Usage (%),Memory Usage (%),Message Overhead (bytes),Total Time (ms)
AES-GCM,10000,1024,224.78842,402.2932915,50,2.4489851,319968,2474.115167
AES-GCM,10000,1024,227.1074882,403.6637952,49.8,2.4489851,319968,2486.6315
AES-GCM,10000,1024,225.0038553,407.7597197,49.5,2.4489851,319968,2491.550666
AES-GCM,10000,1024,223.9913365,401.7794413,50,2.4489851,319968,2458.473958
AES-GCM,10000,1024,226.0961853,404.3514504,50,2.4489851,319968,2480.66075
AES-GCM,10000,1024,225.2414928,403.59843,50,2.4489851,319968,2474.655291
AES-GCM,10000,1024,225.0892958,403.3000102,50,2.4489851,319968,2473.809209
AES-GCM,10000,10240,957.5422571,1133.810413,50,2.483485222,319968,3934.754
AES-GCM,10000,10240,958.3242615,1136.409353,49.85,2.483485222,319968,3948.290708
AES-GCM,10000,10240,965.440622,1142.414736,49.75,2.483485222,319968,3964.515041
AES-GCM,10000,10240,958.0220733,1134.675379,50,2.483485222,319968,3936.7165
AES-GCM,10000,10240,971.6254978,1156.038366,49.65,2.483485222,319968,4012.441667
AES-GCM,10000,10240,966.7359762,1149.107531,49.75,2.483485222,319968,3985.301708
AES-GCM,10000,10240,959.1999706,1136.302503,50,2.483485222,319968,3942.123459
AES-GCM,10000,10240,953.17549,1129.294685,50,2.483485222,319968,3918.130667
AES-GCM,10000,10240,993.8839492,1161.443551,48.95,2.483485222,319968,4083.577084
AES-GCM,10000,10240,983.2603669,1174.148408,49.1,2.483485222,319968,4072.760792
RatchetTree,5,128,0.547500094,0.451792032,41.95,0.019717216,176,9.158875037
RatchetTree,5,128,0.467289938,0.512874976,49.85,0.008802414,176,4.992833012
RatchetTree,5,128,0.366875029,0.412083988,49.7,0.008794785,176,4.022583016
RatchetTree,5,128,0.399164855,0.423792051,49.85,0.008787155,176,4.257542023
RatchetTree,5,128,0.616250036,0.501000031,50.15,0.008779526,176,5.971417006
RatchetTree,5,128,0.324165158,0.511126011,49.9,0.008771896,176,4.666499968
RatchetTree,5,128,0.41021005,0.492043095,49.85,0.008764267,176,4.602958041
RatchetTree,5,128,0.651875162,0.569873955,49.8,0.008749008,176,6.681333994
RatchetTree,5,128,0.476459973,0.541125017,49.95,0.008741379,176,5.219125014
RatchetTree,5,128,0.284374983,1.579457952,21.6,0.008733749,176,11.83270803
RatchetTree,5,1024,0.710204768,0.785957091,47.1,0.011289597,176,7.613708964
RatchetTree,5,1024,0.553959981,0.767167017,49.55,0.011281967,176,6.30954199
RatchetTree,5,1024,0.917704892,0.678083976,49.9,0.011274338,176,6.632541015
RatchetTree,5,1024,0.771460182,0.835957995,47.4,0.011266708,176,6.990459049
RatchetTree,5,1024,0.556044979,0.694832066,49.95,0.011259079,176,5.807167036
RatchetTree,5,1024,0.522710034,0.628540991,47.35,0.01124382,176,6.46087504
RatchetTree,5,1024,0.872705132,0.634957978,49.85,0.011236191,176,6.542791962
RatchetTree,5,1024,0.708329899,0.71670796,50,0.011228561,176,6.095707999
RatchetTree,5,1024,0.43625012,0.526832999,47.5,0.011220932,176,4.838792025
RatchetTree,5,1024,0.724999991,0.756209018,48.95,0.011213303,176,6.889125041
RatchetTree,5,10240,2.003960253,1.389209006,49.85,0.045752525,176,13.96625
RatchetTree,5,10240,2.049375034,1.465416048,49.9,0.045744896,176,13.695125
RatchetTree,5,10240,1.974375045,1.393958984,49.9,0.04569149,176,13.84479197
RatchetTree,5,10240,1.807289955,1.370375045,49.85,0.04569149,176,13.729667
RatchetTree,5,10240,1.66791986,1.495459059,49.85,0.04569149,176,14.33954196
RatchetTree,5,10240,1.98812515,1.411541947,49.8,0.04569149,176,14.38212499
RatchetTree,5,10240,1.915835019,1.438915962,49.9,0.04569149,176,13.73708301
RatchetTree,5,10240,0.569169933,0.500542053,49.8,0.04569149,176,9.551625
RatchetTree,5,10240,2.013125049,1.401290996,49.95,0.04569149,176,12.45387498
RatchetTree,5,10240,1.560414967,1.399874047,49.8,0.04569149,176,13.79608299
RatchetTree,50,128,5.966698518,3.991667123,49.9,0.041928291,2156,35.97691696
RatchetTree,50,128,3.31455085,3.884665959,49.7,0.041928291,2156,31.701667
RatchetTree,50,128,2.235447755,7.052959059,34.3,0.041928291,2156,30.91420798
RatchetTree,50,128,3.600001219,3.786291811,49.95,0.041928291,2156,31.86583403
RatchetTree,50,128,3.241701052,3.856041061,49.95,0.041928291,2156,32.614458
RatchetTree,50,128,3.125000512,3.67391709,49.8,0.041928291,2156,32.096209
RatchetTree,50,128,5.064552533,3.854206298,49.95,0.041928291,2156,32.42704197
RatchetTree,50,128,3.975001164,3.780080006,49.95,0.041928291,2156,32.02641697
RatchetTree,50,128,4.345847992,4.067962815,49.95,0.041928291,2156,32.07091696
RatchetTree,50,128,3.849997302,3.731128993,49.95,0.041928291,2156,32.37166704
RatchetTree,50,1024,4.797900328,5.072581931,49.75,0.044491768,2156,33.88983296
RatchetTree,50,1024,7.875001756,5.116164917,49.9,0.044491768,2156,34.90799997
RatchetTree,50,1024,4.672902287,4.808791913,49.95,0.044491768,2156,32.70975
RatchetTree,50,1024,8.289600373,5.218706967,49.9,0.044491768,2156,34.77895795
